Level,Nr,Frage,A,B,C,D,Richtig,Kategorie
21,1,"Bei der Warenannahme stellen Sie fest, dass TK-Fisch eine Kerntemperatur von -12°C hat. Wie handeln Sie nach HACCP?",Ware annehmen und sofort verarbeiten,"Ware ablehnen, da Kühlkette unterbrochen (-18°C erforderlich)",Ware annehmen und dokumentieren,Ware zunächst kühlen,B,Wareneingang
21,2,Welche Maßnahme ist bei einem CCP im HACCP-System zwingend erforderlich?,Tägliche Sichtprüfung,Dokumentation mit Grenzwerten und Korrekturmaßnahmen,Monatliche Überprüfung,Mündliche Weitergabe,B,HACCP
21,3,Ein Mitarbeiter hat Magen-Darm-Beschwerden. Was ist nach IfSG zu tun?,Nur im Spülbereich einsetzen,"Sofort nach Hause schicken, Tätigkeitsverbot",Mit Handschuhen arbeiten lassen,Nur im Lager einsetzen,B,Hygiene
21,4,Frischer Fisch bei Warenannahme: Welche max. Kerntemperatur ist zulässig?,0°C,+2°C,+4°C,+7°C,B,Wareneingang
21,5,Wie oft müssen Kühltemperaturen nach HACCP mindestens dokumentiert werden?,Wöchentlich,Täglich,Zweimal täglich,Nur bei Auffälligkeiten,B,HACCP
21,6,Ein Pflaster löst sich. Welche Farbe sollte es haben und warum?,Weiß,Blau und metalldetektierbar,Hautfarben,Transparent,B,Hygiene
21,7,Welche Temperatur muss bei Heißhaltung mindestens erreicht werden?,55°C,60°C,65°C,70°C,C,HACCP
21,8,Rohe Eier: Wo lagern nach HACCP?,Bei Raumtemperatur,"Kühlschrank +7°C, getrennt von Fertigware",Mit Milchprodukten,TK-Lager,B,Wareneingang
21,9,Was bedeutet MHD rechtlich?,Produkt ungenießbar danach,Herstellergarantie für Qualität bis Datum,Muss an diesem Tag verbraucht werden,Nur Richtwert,B,Wareneingang
21,10,Wie lange dürfen zubereitete Speisen max. bei Raumtemperatur stehen?,30 Min,1 Std,2 Std,3 Std,C,HACCP
21,11,Geflügel durchgegart bei welcher Kerntemperatur?,55°C,60°C,65°C,70°C,D,HACCP
21,12,TK-Ware auftauen: Was ist HACCP-konform?,Bei Raumtemp,"Im kalten Kühlschrank, Auftauflüssigkeit entfernen",In warmem Wasser,Auf Arbeitsfläche,B,HACCP
21,13,Wie oft Händedesinfektionsmittel nachfüllen?,Nur wenn leer,Täglich,"Bei Bedarf, bevor leer",Wöchentlich,C,Hygiene
21,14,Frisches Hackfleisch: Bis wann verarbeiten/einfrieren?,Am gleichen Tag,24 Stunden,48 Stunden,3 Tage,A,Wareneingang
21,15,Welche Aussage zur Kreuzkontamination ist korrekt?,Nur bei Fleisch,Übertragung von Keimen zwischen rohen und gegarten LM,Nur bei Kontakt,Spielt keine Rolle,B,Hygiene
22,1,Welche Garmethode ist am schonendsten für Vitamine?,Kochen in viel Wasser,Dämpfen,Frittieren,Schmoren,B,Garmethoden
22,2,Gast hat Zöliakie. Welches LM ist NICHT geeignet?,Reis,Mais,Dinkel,Kartoffeln,C,Allergene
22,3,Rinderfilet 'medium': Welche Kerntemperatur?,45-50°C,54-56°C,60-62°C,65-70°C,B,Garmethoden
22,4,Welche 14 Hauptallergene müssen in EU deklariert werden?,Nur Nüsse/Milch,"Getreide, Krebstiere, Eier, Fisch, Erdnüsse, Soja, Milch, Nüsse, Sellerie, Senf, Sesam, Sulfite, Lupinen, Weichtiere",Nur tierische Produkte,Alle Proteine,B,Allergene
22,5,Was beschreibt die Maillard-Reaktion?,Karamellisieren,Bräunung zwischen Aminosäuren und Zuckern,Verdampfen,Denaturierung,B,Garmethoden
22,6,Wie viel % der täglichen Energie sollen laut DGE aus Kohlenhydraten stammen?,30%,40%,50%,60%,C,Nährwerte
22,7,Gast mit Laktoseintoleranz: Welche Zutat ist problematisch?,Butter,Olivenöl,Margarine (pflanzlich),Kokosfett,A,Allergene
